hu_site_limit,point_granularity,point_longitude,fl_site_deductible,hu_site_deductible,point_latitude,fl_site_limit,county,construction,tiv_2011,policyID,fr_site_deductible,tiv_2012,eq_site_deductible,line,fr_site_limit,eq_site_limit,statecode
498960,1,-81.711777,0,9979.2,30.102261,498960,CLAY COUNTY,Masonry,498960,119736,0,792148.9,0,Residential,498960,498960,FL
1322376.3,3,-81.707664,0,0,30.063936,1322376.3,CLAY COUNTY,Masonry,1322376.3,448094,0,1438163.57,0,Residential,1322376.3,1322376.3,FL
190724.4,1,-81.700455,0,0,30.089579,190724.4,CLAY COUNTY,Wood,190724.4,206893,0,192476.78,0,Residential,190724.4,190724.4,FL
79520.76,3,-81.707703,0,0,30.063236,0,CLAY COUNTY,Wood,79520.76,333743,0,86854.48,0,Residential,0,0,FL
254281.5,1,-81.702675,0,0,30.060614,0,CLAY COUNTY,Wood,254281.5,172534,0,246144.49,0,Residential,254281.5,0,FL
515035.62,3,-81.707703,0,0,30.063236,0,CLAY COUNTY,Masonry,515035.62,785275,0,884419.17,0,Residential,0,0,FL
19260000,1,-81.713882,0,0,30.102226,0,CLAY COUNTY,Reinforced Concrete,19260000,995932,0,20610000,0,Commercial,0,0,FL
328500,1,-81.707146,0,16425,30.102217,328500,CLAY COUNTY,Wood,328500,223488,0,348374.25,0,Residential,328500,328500,FL
315000,1,-81.704613,0,15750,30.118774,315000,CLAY COUNTY,Wood,315000,433512,0,265821.57,0,Residential,315000,315000,FL
705600,1,-81.703751,0,35280,30.100628,705600,CLAY COUNTY,Masonry,705600,142071,0,1010842.56,14112,Residential,705600,705600,FL
831498.3,1,-81.719444,0,0,30.10216,831498.3,CLAY COUNTY,Masonry,831498.3,253816,0,1117791.48,0,Residential,831498.3,831498.3,FL
24059.09,1,-81.695099,0,0,30.095957,0,CLAY COUNTY,Wood,24059.09,894922,0,33952.19,0,Residential,0,0,FL
48115.94,1,-81.739822,0,0,30.100073,0,CLAY COUNTY,Wood,48115.94,422834,0,66755.39,0,Residential,0,0,FL
28869.12,1,-81.725167,0,0,30.09248,0,CLAY COUNTY,Wood,28869.12,582721,0,42826.99,0,Residential,0,0,FL
56135.64,1,-81.726248,0,0,30.101356,0,CLAY COUNTY,Wood,56135.64,842700,0,50656.8,0,Residential,0,0,FL
48115.94,1,-81.727463,0,0,30.113743,0,CLAY COUNTY,Wood,48115.94,874333,0,67905.07,0,Residential,0,0,FL
48115.94,3,-81.732391,0,0,30.121655,0,CLAY COUNTY,Wood,48115.94,580146,0,66938.9,0,Residential,0,0,FL
80192.49,1,-81.741661,0,0,30.109537,0,CLAY COUNTY,Wood,80192.49,456149,0,86421.04,0,Residential,0,0,FL
48115.94,3,-81.745335,0,0,30.11824,0,CLAY COUNTY,Wood,48115.94,767862,0,73798.5,0,Residential,0,0,FL
60946.79,1,-81.717416,0,0,30.065799,0,CLAY COUNTY,Wood,60946.79,353022,0,62467.29,0,Residential,0,0,FL
28869.12,1,-81.710581,0,0,30.082993,0,CLAY COUNTY,Wood,28869.12,367814,0,42727.74,0,Residential,0,0,FL
13410000,3,-81.711929,0,0,30.091921,0,CLAY COUNTY,Reinforced Concrete,13410000,671392,0,11700000,0,Commercial,0,0,FL
1669113.93,1,-81.711884,0,0,30.117352,0,CLAY COUNTY,Masonry,1669113.93,772887,0,2099127.76,0,Residential,0,0,FL
179562.23,3,-81.713181,0,0,30.095783,0,CLAY COUNTY,Wood,179562.23,983122,0,211372.57,0,Residential,0,0,FL
177744.16,1,-81.727478,0,0,30.110518,0,CLAY COUNTY,Wood,177744.16,934215,0,157171.16,0,Residential,0,0,FL
17757.58,1,-81.705719,0,0,30.10288,0,CLAY COUNTY,Wood,17757.58,385951,0,16948.72,0,Residential,0,0,FL
130129.87,1,-81.71624,0,0,30.068468,0,CLAY COUNTY,Wood,130129.87,716332,0,101758.43,0,Residential,0,0,FL
42854.77,1,-81.71624,0,0,30.068468,0,CLAY COUNTY,Wood,42854.77,751262,0,63592.88,0,Residential,0,0,FL
785.58,1,-81.71624,0,0,30.068468,0,CLAY COUNTY,Wood,785.58,633663,0,662.18,0,Residential,0,0,FL
170361.91,1,-81.71624,0,0,30.068468,0,CLAY COUNTY,Wood,170361.91,105851,0,177176.38,0,Residential,0,0,FL
1430.89,1,-81.71624,0,0,30.068468,0,CLAY COUNTY,Wood,1430.89,710400,0,1861.41,0,Residential,0,0,FL
129913.27,4,-81.706865,0,0,30.079785,0,CLAY COUNTY,Wood,129913.27,703001,0,101692.86,0,Residential,0,0,FL
366285.62,1,-81.718452,0,0,30.08012,0,CLAY COUNTY,Masonry,366285.62,352792,0,507164.19,0,Residential,0,0,FL
22512.61,1,-81.718452,0,0,30.08012,0,CLAY COUNTY,Wood,22512.61,717603,0,28637.17,0,Residential,0,0,FL
9246.6,3,-82.926659,0,0,29.959805,0,SUWANNEE COUNTY,Wood,9246.6,937659,0,10880.22,0,Residential,9246.6,0,FL
96164.64,3,-82.926659,0,0,29.959805,0,SUWANNEE COUNTY,Wood,96164.64,294022,0,69357.78,0,Residential,0,0,FL
11095.92,3,-82.926659,0,0,29.959805,0,SUWANNEE COUNTY,Wood,11095.92,410500,0,12737.89,0,Residential,0,0,FL
218475,3,-82.926155,0,4369.5,29.962601,218475,SUWANNEE COUNTY,Wood,218475,524433,0,199030.29,0,Residential,218475,218475,FL
1400904,3,-82.926155,0,0,29.962601,1400904,SUWANNEE COUNTY,Masonry,1400904,779298,0,1772984.1,0,Residential,1400904,1400904,FL
4365,3,-82.926155,0,87.3,29.962601,4365,SUWANNEE COUNTY,Wood,4365,491831,0,4438.05,0,Residential,4365,4365,FL
4365,3,-82.926155,0,87.3,29.962601,4365,SUWANNEE COUNTY,Wood,4365,814637,0,6095.72,0,Residential,4365,4365,FL
39789,3,-82.926155,0,0,29.962601,39789,SUWANNEE COUNTY,Wood,39789,737515,0,58106.58,0,Residential,39789,39789,FL
24867,3,-82.926155,0,0,29.962601,24867,SUWANNEE COUNTY,Wood,24867,222653,0,18969.79,0,Residential,24867,24867,FL
213876,3,-82.926155,0,0,29.962601,213876,SUWANNEE COUNTY,Wood,213876,788543,0,261435.18,0,Residential,213876,213876,FL
69435,3,-82.92542,0,1388.7,29.960735,69435,SUWANNEE COUNTY,Wood,69435,691681,0,93674.34,0,Residential,69435,69435,FL
14922,3,-82.92542,0,0,29.960735,14922,SUWANNEE COUNTY,Wood,14922,368807,0,12333.03,0,Residential,14922,14922,FL
165546,1,-82.916763,0,0,29.963396,165546,SUWANNEE COUNTY,Wood,165546,174002,0,239134.51,0,Residential,165546,165546,FL
